[2026-03-11T22:32:16.154Z] REMOVED: Bigpoint GmbH | Senior Full Stack Developer (m/f/d) | https://bigpoint.jobs.personio.de/job/1244370?language=en&display=en | HTTP 404
[2026-03-11T22:32:16.155Z] REMOVED: Bigpoint GmbH | Lead QA Tester (m/f/d) | https://bigpoint.jobs.personio.de/job/1395283?language=en&display=en | HTTP 404
[2026-03-16T07:22:14.663Z] REMOVED: N26 | Senior Full Stack Engineer | https://n26.com/en-eu/careers/positions/7577884 | HTTP 404
[2026-03-16T07:22:14.663Z] REMOVED: Booking.com | Senior Backend Developer | https://jobs.booking.com/booking/jobs/27853?lang=en-us | HTTP 404
[2026-03-16T07:22:14.664Z] REMOVED: Spotify | Backend Engineer - Subscriptions | https://www.lifeatspotify.com/jobs/backend-engineer-subscriptions | HTTP 404
[2026-03-16T07:22:14.664Z] REMOVED: Spotify | Backend Engineer - Core Infrastructure | https://www.lifeatspotify.com/jobs/backend-engineer-core-infrastructure | HTTP 404
[2026-03-16T07:22:14.664Z] REMOVED: Spotify | Backend Engineer - Learning Infrastructure | https://www.lifeatspotify.com/jobs/backend-engineer-learning-infrastructure | HTTP 404
[2026-03-16T07:22:14.664Z] REMOVED: Datadog | Senior Software Engineer - Observability/SRE | https://careers.datadoghq.com/detail/7588866/?gh_jid=7588866 | HTTP 404
[2026-03-16T07:22:14.664Z] REMOVED: Wolt | Senior Software Engineer - Kotlin | https://careers.wolt.com/en/jobs/3092045 | HTTP 404
[2026-03-19T07:02:02.544Z] REMOVED: Stripe | Backend / API Engineer, Payouts | https://stripe.com/jobs/listing/backend-api-engineer-payouts/7369543 | HTTP 404
[2026-03-19T07:02:02.545Z] REMOVED: Mistral AI | Staff Software Engineer, Security - Paris | https://jobs.lever.co/mistral/9f6e6513-fd9e-411b-b558-540bc12b2fe4 | HTTP 404
[2026-03-19T07:02:02.545Z] REMOVED: Robin AI | Staff Machine Learning Engineer | https://www.robinai.com/open-positions?ashby_jid=0c8ba130-9f6a-4a32-8d1f-08b3364f9e8c/ | ENOTFOUND
[2026-03-19T07:02:02.545Z] REMOVED: Robin AI | Senior Machine Learning Engineer | https://www.robinai.com/open-positions?ashby_jid=19292bff-1586-4bbd-b593-69b5a0c5263e/ | ENOTFOUND
[2026-03-19T07:02:02.545Z] REMOVED: Mistral AI | Software Engineer, Security | https://jobs.lever.co/mistral/9f6e6513-fd9e-411b-b558-540bc12b2fe4 | HTTP 404
[2026-03-23T07:14:38.302Z] REMOVED: Labforward | Project Engineer (m/f/d) | https://labforward.jobs.personio.de/job/1888990?language=en&display=en | HTTP 404
[2026-03-23T07:14:38.302Z] REMOVED: Labforward | Back-End / Full Stack Java Engineer | https://labforward.jobs.personio.de/job/1889579?language=en%3Flanguage%3D&display=en | HTTP 404
[2026-03-26T07:13:17.957Z] REMOVED: Scalable Capital | Staff Software Engineer, Client Technology (m/f/x) | https://jobs.lever.co/scalablecapital/ | HTTP 404
[2026-03-26T07:13:17.957Z] REMOVED: Scalable Capital | Senior Android Engineer (m/f/x) | https://jobs.lever.co/scalablecapital/ | HTTP 404
[2026-03-26T07:13:17.957Z] REMOVED: Scalable Capital | Product Security Engineer (m/f/x) | https://jobs.lever.co/scalablecapital/ | HTTP 404
[2026-03-26T07:13:17.957Z] REMOVED: Glovo | Backend Engineer (They/She/He) | https://jobs.glovoapp.com/find-your-ride/job/backend-engineer-(theyshehe)/7046430002/ | HTTP 404
[2026-03-26T07:13:17.957Z] REMOVED: Glovo | Android Engineer (They/She/He) | https://jobs.glovoapp.com/find-your-ride/job/android-engineer-(theyshehe)/7109683002/ | HTTP 404
[2026-03-26T07:13:17.957Z] REMOVED: Ecosia | Software Engineer, Backend | https://explore.ecosia.org/jobs | HTTP 403
[2026-03-26T07:13:17.957Z] REMOVED: Ecosia | Senior Platform Engineer, Developer Experience | https://explore.ecosia.org/jobs | HTTP 403
[2026-03-26T07:13:17.957Z] REMOVED: Stripe | Backend Engineer, Core Technology | https://stripe.com/jobs/listing/backend-engineer-core-technology/6623777 | HTTP 404
[2026-03-26T07:13:17.957Z] REMOVED: Swisscom | Senior Big Data & Machine Learning Engineer | https://sdcrotterdam.swisscom.ch/o/senior-software-engineer | HTTP 404
